ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDPCPO23N000005036,장소,공원,16491857,아람어린이공원,,,50705,지역근린공원,3120012500113380002,울산광역시,북구,화봉동,,1338-2,3120012500,3120057000,,,,129.3661708,35.59615116,마마690349,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005037,장소,공원,16491858,아랫샘어린이공원,,,50705,지역근린공원,1165010900100012173,서울특별시,서초구,내곡동,,1-2173,1165010900,1165066000,,,,127.0720765,37.46071391,다사621402,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005038,장소,공원,16491859,아름공원,,,50705,지역근린공원,2671025026101240003,부산광역시,기장군,기장읍,대라리,124-3,2671025026,2671025000,,,,129.2141515,35.24138567,마라559953,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005039,장소,공원,16491861,아름공원,,,50705,지역근린공원,5113011500116450001,강원특별자치도,원주시,무실동,,1645-1,5113011500,5113066000,,,,127.92674,37.334446,라사378262,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005040,장소,공원,16491862,아름어린이공원,,,50705,지역근린공원,1123010900100430178,서울특별시,동대문구,휘경동,,43-178,1123010900,1123073000,,,,127.066559,37.58645681,다사617542,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005041,장소,공원,16491864,아리솔공원,,,50705,지역근린공원,3171026521116050003,울산광역시,울주군,삼남읍,교동리,1605-3,3171026521,3171026500,,,,129.1146597,35.55813291,마마463303,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005042,장소,공원,16491867,아시아어린이공원,,,50705,지역근린공원,4773025024107710012,경상북도,의성군,의성읍,도동리,771-12,4773025024,4773025000,,,,128.7011656,36.34683747,마바077172,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005043,장소,공원,16491869,아이뜰공원,,,50705,지역근린공원,4825011000100560005,경상남도,김해시,흥동,,56-5,4825011000,4825056500,,,,128.8617452,35.22213891,마라239927,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005044,장소,공원,16491871,안골공원,,,50705,지역근린공원,2824511100104860007,인천광역시,계양구,귤현동,,486-7,2824511100,2824573000,,,,126.7467055,37.56975587,다사334525,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005045,장소,공원,16491873,안골어린이공원,,,50705,지역근린공원,4511310300107530004,전라북도,전주시 덕진구,인후동1가,,753-4,4511310300,4511354000,,,,127.1570409,35.84079289,다마690605,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005046,장소,공원,16491879,안락꽃밭공원,,,50705,지역근린공원,2626010200101710008,부산광역시,동래구,안락동,,171-8,2626010200,2626075000,,,,129.1125913,35.19102112,마라468896,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005047,장소,공원,16491880,안산도시자연공원,,,50705,지역근린공원,1141011700101960013,서울특별시,서대문구,연희동,,196-13,1141011700,1141061500,,,,126.9301291,37.57370191,다사496528,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005048,장소,공원,16491882,안산동네체육공원,,,50705,지역근린공원,5175025022102420000,강원특별자치도,영월군,영월읍,하송리,242,5175025022,5175025000,517503227027,하송로,64,128.4624596,37.18418146,라사854099,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005049,장소,공원,16491886,안산어린이공원,,,50705,지역근린공원,1147010100109490004,서울특별시,양천구,신정동,,949-4,1147010100,1147065000,,,,126.8561931,37.52465501,다사431474,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005050,장소,공원,16491890,안좌공원,,,50705,지역근린공원,4691040023104740000,전라남도,신안군,안좌면,산두리,474,4691040023,4691040000,,,,126.17065,34.73077177,나라782381,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005051,장소,공원,16491892,안지랑골체육공원,,,50705,지역근린공원,2720010300202190005,대구광역시,남구,대명동,,산219-5,2720010300,2720064000,272003007012,앞산순환로,440-1,128.5741356,35.8300489,라마970598,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005052,장소,공원,16491896,안터선사공원,,,50705,지역근린공원,4373031028109440000,충청북도,옥천군,동이면,석탄리,944,4373031028,4373031000,437304526242,안터1길,36,127.6195578,36.31797294,라바107134,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005053,장소,공원,16491898,안터어린이공원,,,50705,지역근린공원,3011011100100870003,대전광역시,동구,자양동,,87-3,3011011100,3011059000,301103164018,성동로,41,127.4523779,36.33951472,다바957157,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005054,장소,공원,16491899,안현어린이공원,,,50705,지역근린공원,4121010300105970000,경기도,광명시,하안동,,597,4121010300,4121063100,412104361202,안재로16번길,10,126.8726714,37.46020893,다사445402,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005055,장소,공원,16491902,앞산어린이공원,,,50705,지역근린공원,1147010100109100009,서울특별시,양천구,신정동,,910-9,1147010100,1147065000,114704142388,중앙로52길,73,126.8583045,37.52643269,다사433476,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005056,장소,공원,16491903,애경어린이공원,,,50706,어린이놀이터,1153010200105010022,서울특별시,구로구,구로동,,501-22,1153010200,1153056000,115304148273,구로중앙로32가길,19,126.8848182,37.50009551,다사456447,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005057,장소,공원,16491905,애니원공원,,,50705,지역근린공원,3111010900104770001,울산광역시,중구,성안동,,477-1,3111010900,3111065000,,,,129.3214752,35.57925436,마마650329,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005058,장소,공원,16491906,애린공원,,,50705,지역근린공원,4719011600100450000,경상북도,구미시,상모동,,45,4719011600,4719064500,,,,128.3561251,36.09051126,라마770885,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005059,장소,공원,16491907,야성공원,,,50705,지역근린공원,4889034030102820002,경상남도,합천군,야로면,야로리,282-2,4889034030,4889034000,,,,128.1702611,35.7079636,라마606459,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000005060,장소,공원,16491909,약다산생태체험공원,,,50705,지역근린공원,4680031022105390000,전라남도,장흥군,용산면,운주리,539,4680031022,4680031000,,,,126.8921474,34.60497842,다라442235,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
